reverse all
reverse rotate
Enable track
VR world
(-0.7, 1.5, 0.9)
(-0.7, 1.5, 0.8)
(-0.8, 1.6, 0.8)
(-0.8, 1.5, 0.6)
(-0.7, 1.7, 0.7)
(-0.7, 1.7, 0.7)
(-0.7, 1.6, 0.7)
(-0.7, 1.5, 0.8)
(-0.7, 1.5, 0.8)
(-0.7, 1.5, 0.8)
(-0.7, 1.6, 0.8)
(-0.7, 1.6, 0.8)
(0.0, 1.6, 0.0)
(0.1, 1.5, 0.0)
(0.1, 1.5, -0.1)
(0.2, 1.5, -0.2)
(0.0, 1.5, -0.2)
(-0.2, 1.5, -0.2)
(-0.3, 1.5, -0.1)
(-0.4, 1.5, 0.0)
(-0.5, 1.5, 0.0)
(-0.4, 1.5, 0.0)
(-0.3, 1.5, 0.0)
(-0.3, 1.6, 0.1)
(0.0, 1.6, 0.0)
(0.0, 1.5, 0.0)
(0.0, 1.5, 0.0)
(0.2, 1.5, -0.2)
(0.2, 1.5, -0.2)
(-0.1, 1.5, -0.1)
(0.0, 1.5, -0.2)
(0.1, 1.5, -0.2)
(0.2, 1.5, -0.1)
(0.3, 1.6, -0.1)
(0.1, 1.6, -0.2)
reverse all
normal rotate
Enable track
VR world
(0.0, 1.5, 0.0)
(0.2, 1.5, 0.0)
(0.3, 1.5, 0.0)
(0.3, 1.5, 0.0)
(0.0, 1.5, 0.0)
(0.1, 1.5, 0.1)
(0.2, 1.5, 0.1)
(0.1, 1.5, 0.2)
(0.0, 1.5, 0.0)
(-0.1, 1.5, 0.1)
(-0.1, 1.5, -0.1)
(-0.1, 1.6, -0.1)
(-0.2, 1.6, -0.1)
(-0.1, 1.6, -0.1)
(-0.1, 1.6, 0.1)
(-0.2, 1.6, 0.0)
(-0.2, 1.6, 0.0)
(-0.1, 1.6, 0.1)
(-0.2, 1.6, 0.1)
